film,clovek,vloga
11,17505,Igralec
11,25158,Igralec
11,2152,Igralec
11,7907,Igralec
11,14598,Igralec
11,2710,Igralec
11,18133,Igralec
11,21584,Igralec
11,13255,Reziser
12,7792,Igralec
12,2923,Igralec
12,21939,Igralec
12,9315,Igralec
12,22598,Igralec
12,19466,Igralec
12,12312,Igralec
12,7630,Igralec
12,5287,Igralec
12,9685,Igralec
12,13012,Igralec
12,15047,Reziser
13,16156,Igralec
13,16697,Igralec
13,8212,Igralec
13,9192,Igralec
13,2746,Igralec
13,19137,Igralec
13,15569,Igralec
13,18131,Igralec
13,24002,Igralec
13,25206,Igralec
13,19822,Igralec
13,12885,Igralec
13,24313,Igralec
13,25137,Igralec
13,14051,Reziser
14,5474,Igralec
14,4298,Igralec
14,2276,Igralec
14,17541,Igralec
14,18295,Igralec
14,10568,Igralec
14,4993,Igralec
14,24439,Igralec
14,13453,Igralec
14,22123,Igralec
14,10712,Igralec
14,4273,Igralec
14,6239,Igralec
14,9577,Igralec
14,1769,Igralec
14,6930,Igralec
14,21222,Igralec
14,18682,Igralec
14,4793,Igralec
14,21887,Igralec
14,21477,Igralec
14,7599,Igralec
14,7037,Igralec
14,24365,Igralec
14,5135,Igralec
14,13988,Igralec
14,23314,Igralec
14,9363,Igralec
14,13004,Igralec
14,4057,Igralec
14,1335,Igralec
14,755,Igralec
14,14410,Igralec
14,11039,Igralec
14,3977,Igralec
14,13129,Igralec
14,16381,Igralec
14,24753,Igralec
14,4986,Igralec
14,19714,Igralec
14,15965,Igralec
14,15665,Igralec
14,6840,Igralec
14,8345,Reziser
15,2905,Igralec
15,1816,Igralec
15,8618,Igralec
15,10421,Igralec
15,2410,Igralec
15,24578,Igralec
15,12478,Igralec
15,4963,Igralec
15,22744,Igralec
15,7290,Igralec
15,19915,Igralec
15,1815,Igralec
15,11359,Igralec
15,6545,Igralec
15,13342,Igralec
15,15895,Igralec
15,18117,Igralec
15,13126,Igralec
15,17301,Igralec
15,15507,Igralec
15,22930,Igralec
15,13254,Igralec
15,13029,Igralec
15,20812,Igralec
15,7129,Igralec
